,Name,FullAddr,City,Lat,Long,geometry
0,Walmart,1380 W ELLIOT RD,TEMPE,33.3510752,-111.960451217661,POINT (-111.960451217661 33.3510752)
1,Walmart,800 E SOUTHERN AVE,TEMPE,33.39395425,-111.927869555815,POINT (-111.927869555815 33.39395425)
2,Walmart,671 E APACHE BLVD,TEMPE,33.4148805,-111.9171391,POINT (-111.9171391 33.4148805)
3,CVS Pharmacy,1750 E BROADWAY RD,TEMPE,33.407593,-111.909936848485,POINT (-111.909936848485 33.407593)
4,CVS Pharmacy,1424 W BASELINE RD,TEMPE,33.3789299,-111.9622962,POINT (-111.9622962 33.3789299)
5,CVS Pharmacy,855 E. ELLIOT ROAD,TEMPE,33.3491139621423,-111.929128501091,POINT (-111.929128501091 33.3491139621423)
6,CVS Pharmacy,3303 S. RURAL,TEMPE,33.3922686,-111.9259346,POINT (-111.9259346 33.3922686)
7,CVS Pharmacy,802 S. MILL AVE.,TEMPE,33.42155815,-111.940354874744,POINT (-111.940354874744 33.42155815)
8,CVS Pharmacy,909 EAST APACHE BLVD,TEMPE,33.4143675,-111.925890663347,POINT (-111.925890663347 33.4143675)
9,CVS Pharmacy,1818 E BASELINE RD,TEMPE,33.3783443469388,-111.909045867347,POINT (-111.909045867347 33.3783443469388)
10,CVS Pharmacy,1800 E RIO SALADO PKWY STE 120,TEMPE,33.429294,-111.8916282,POINT (-111.8916282 33.429294)
11,Walgreens,1745 E SOUTHERN AVE,TEMPE,33.3929035288654,-111.909872806741,POINT (-111.909872806741 33.3929035288654)
12,Walgreens,2000 S MILL AVE,TEMPE,33.40685125,-111.940415888079,POINT (-111.940415888079 33.40685125)
13,Walgreens,925 W BASELINE RD,TEMPE,33.37773,-111.953362,POINT (-111.953362 33.37773)
14,Walgreens,6404 S MCCLINTOCK DR,TEMPE,33.36328005,-111.911936383491,POINT (-111.911936383491 33.36328005)
15,Walgreens,1825 E WARNER RD,TEMPE,33.3347803,-111.8944286,POINT (-111.8944286 33.3347803)
16,CVS Pharmacy,4657 E CHANDLER BLVD,PHOENIX,33.3051650795346,-111.985527210689,POINT (-111.985527210689 33.3051650795346)
17,CVS Pharmacy,1625 N. 44TH ST.,PHOENIX,33.46654375,-111.986536711127,POINT (-111.986536711127 33.46654375)
18,CVS Pharmacy,4430 EAST RAY ROAD,PHOENIX,33.319903091368,-111.984917766591,POINT (-111.984917766591 33.319903091368)
19,CVS Pharmacy,4734 E RAY RD,PHOENIX,33.3199169818233,-111.981714879971,POINT (-111.981714879971 33.3199169818233)
20,Walgreens,4875 E ELLIOT RD,PHOENIX,33.3484516,-111.978761,POINT (-111.978761 33.3484516)
21,Walgreens,2420 E BASELINE RD,PHOENIX,33.378155,-112.0003705,POINT (-112.0003705 33.378155)
22,Walgreens,3945 E SOUTHERN AVE,PHOENIX,33.3925667647059,-111.996732176471,POINT (-111.996732176471 33.3925667647059)
23,Walmart,857 N DOBSON RD,MESA,33.43201335,-111.865324909411,POINT (-111.865324909411 33.43201335)
24,CVS Pharmacy,1137 S. DOBSON RD #10,MESA,33.3715771,-111.8801291,POINT (-111.8801291 33.3715771)
25,CVS Pharmacy,1230 S LONGMORE AVE,MESA,33.3924179200507,-111.863852482646,POINT (-111.863852482646 33.3924179200507)
26,Walgreens,1130 W SOUTHERN AVE,MESA,33.3935038,-111.855738379741,POINT (-111.855738379741 33.3935038)
27,Walgreens,746 W UNIVERSITY DR,MESA,33.4223729805039,-111.847139520754,POINT (-111.847139520754 33.4223729805039)
28,Walgreens,2024 W MAIN ST,MESA,33.4147551,-111.8701121,POINT (-111.8701121 33.4147551)
29,Walgreens,1142 W GUADALUPE RD,MESA,33.3647895,-111.858271292634,POINT (-111.858271292634 33.3647895)
30,CVS Pharmacy,7901 E THOMAS ROAD,SCOTTSDALE,33.4789382,-111.9108498,POINT (-111.9108498 33.4789382)
31,Walmart,3460 W. CHANDLER BOULEVARD,CHANDLER,33.30770785,-111.901631954927,POINT (-111.901631954927 33.30770785)
32,CVS Pharmacy,3990 W. RAY ROAD,CHANDLER,33.3204796,-111.8765533,POINT (-111.8765533 33.3204796)
33,CVS Pharmacy,2005 N. DOBSON RD.,CHANDLER,33.33533388,-111.87633216,POINT (-111.87633216 33.33533388)
34,CVS Pharmacy,2010 S. DOBSON RD.,CHANDLER,33.396631,-111.874663326531,POINT (-111.874663326531 33.396631)
35,CVS Pharmacy,180 N. DOBSON RD.,CHANDLER,33.3440564,-111.8764595,POINT (-111.8764595 33.3440564)
36,Walgreens,5975 W RAY RD,CHANDLER,33.3204796,-111.8765533,POINT (-111.8765533 33.3204796)
37,Walgreens,1925 W CHANDLER BLVD,CHANDLER,33.3055069,-111.8748182,POINT (-111.8748182 33.3055069)
38,Walgreens,1975 S ALMA SCHOOL RD,CHANDLER,33.3792859614127,-111.859656488467,POINT (-111.859656488467 33.3792859614127)
39,Walgreens,1919 N DOBSON RD,CHANDLER,33.33435695,-111.87557115,POINT (-111.87557115 33.33435695)
